mode,scheme_status,design_method,design_options,tap_index,coefficient
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,210,-0.000824234745182717
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,211,-0.000869637316680195
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,212,-0.000914859016600364
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,213,-0.000959846259909252
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,214,-0.00100454481554147
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,215,-0.00104889985181711
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,216,-0.00109285598294823
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,217,-0.0011363573165956
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,218,-0.00117934750243469
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,219,-0.00122176978168863
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,220,-0.00126356703758434
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,221,-0.001304681846687
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,222,-0.00134505653106631
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,223,-0.00138463321124702
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,224,-0.00142335385989503
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,225,-0.00146116035618899
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,226,-0.0014979945408264
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,227,-0.00153379827161205
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,228,-0.00156851347957572
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,229,-0.00160208222556503
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,230,-0.00163444675725836
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,231,-0.00166554956654221
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,232,-0.00169533344719613
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,233,-0.00172374155282802
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,234,-0.00175071745500176
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,235,-0.0017762052014984
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,236,-0.00180014937465194
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,237,-0.00182249514969975
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,238,-0.00184318835308778
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,239,-0.00186217552066988
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,240,-0.00187940395574066
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,241,-0.00189482178684069
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,242,-0.00190837802527317
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,243,-0.00192002262227043
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,244,-0.00192970652574938
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,245,-0.00193738173659438
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,246,-0.00194300136440653
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,247,-0.00194651968265833
