offset_hz,cic_db,fir_db,total_db
164.0,-0.00019214125795875763,0.00921206591897849,0.009019924661019443
165.0,-0.00019449158999321951,0.009269358645689233,0.009074867055696744
166.0,-0.00019685620979780795,0.009325625567775359,0.009128769357977065
167.0,-0.00019923511741119353,0.009380840917480291,0.009181605800069815
168.0,-0.00020162831281329204,0.009434978750364805,0.009233350437551517
169.0,-0.0002040357959869828,0.009488012945028473,0.009283977149042263
170.0,-0.00020645756696729059,0.009539917202812657,0.009333459635844442
171.0,-0.00020889362571891302,0.009590665047583304,0.00938177142186358
172.0,-0.00021134397226351494,0.009640229825400859,0.009428885853136903
173.0,-0.00021380860660258035,0.00968858470431232,0.009474776097709487
174.0,-0.0002162875287203054,0.009735702674041932,0.009519415145322311
175.0,-0.00021878073864338825,0.009781556545750036,0.009562775807106839
176.0,-0.00022128823636002342,0.00982611895177337,0.00960483071541322
177.0,-0.00022381002186619084,0.009869362345346772,0.009645552323481202
178.0,-0.000226346095180121,0.009911259000366025,0.009684912905186837
179.0,-0.0002288964562699685,0.009951781011101259,0.00972288455483223
180.0,-0.0002314611051733919,0.009990900291984163,0.009759439186810642
181.0,-0.00023404004187700962,0.010028588577309129,0.009794548535432138
182.0,-0.00023663326637811833,0.010064817421012043,0.009828184154634202
183.0,-0.00023924077867601402,0.010099558196407218,0.009860317417731423
184.0,-0.00024186257877777792,0.010132782095934552,0.009890919517156121
185.0,-0.00024449866667031043,0.010164460130934128,0.009919961464263027
186.0,-0.00024714904238204953,0.01019456313138473,0.009947414089003462
187.0,-0.0002498137058952149,0.010223061745638973,0.009973248039744484
188.0,-0.0002524926572075262,0.010249926440230176,0.009997433783022956
189.0,-0.00025518589633606077,0.010275127499619915,0.010019941603284658
190.0,-0.000257893423274822,0.01029863502592098,0.010040741602646891
191.0,-0.00026061523802077676,0.010320418938716987,0.010059803700696153
192.0,-0.0002633513405622831,0.010340448974797646,0.010077097634236072
193.0,-0.00026610173093598777,0.01035869468793284,0.010092592956997158
194.0,-0.00026886640910049457,0.010375125448654767,0.0101062590395549
195.0,-0.00027164537508873383,0.010389710444032639,0.010118065068943801
196.0,-0.0002744386288980248,0.010402418677424549,0.010127980048525926
197.0,-0.00027724617051611385,0.010413218968293142,0.01013597279777689
198.0,-0.0002800679999568555,0.010422079951956022,0.010142011951998849
199.0,-0.0002829041171975289,0.010428970079365238,0.010146065962168504
200.0,-0.00028575452228395354,0.010433857616946665,0.010148103094662023
201.0,-0.00028861921517233383,0.010436710646314318,0.010148091431141893
202.0,-0.00029149819588837855,0.010437497064117719,0.010145998868230081
203.0,-0.00029439146443086494,0.01043618458180842,0.010141793117377765
204.0,-0.00029729902079767635,0.010432740725427853,0.010135441704631114
205.0,-0.0003002208649674795,0.010427132835441388,0.010126911970474179
206.0,-0.0003031569969816949,0.010419328066508905,0.01011617106952731
207.0,-0.00030610741681816594,0.010409293387291928,0.010103185970472882
208.0,-0.00030907212448180846,0.010396995580260752,0.01008792345577873
