mode,offset_hz,current_window_response_db,fixed_window_response_db
1K,266523.3490385114,-76.5842562558895,-289.0460885644159
1K,275741.0100465003,-76.87957733330151,-287.029362004706
1K,285277.4621651556,-77.17489789655536,-279.0919643358742
1K,295143.730726407,-77.47021793899661,-272.68090957144955
1K,305351.22237126133,-77.76553745150264,-291.9872398515959
1K,315911.73823731014,-78.06085642258167,-276.45134641254054
1K,326837.48760231474,-78.35617483818721,-294.22077157996694
1K,338141.101999662,-78.65149268168867,-295.2555234454647
1K,349835.6498220019,-78.94680993401714,-329.6570583790875
1K,361934.65142993676,-79.24212657275737,-297.2531079904451
1K,374452.0947832533,-79.53744257350071,-298.45756684330485
1K,387402.4516127597,-79.83275790829403,-293.1365263261378
1K,400800.6941514076,-80.12807254640892,-270.4579376750605
1K,414662.3124440717,-80.42338645348849,-287.10163380929185
1K,429003.3322559847,-80.71869959198253,-269.3614016112567
1K,443840.33360051754,-81.01401192183793,-292.9643865608389
1K,459190.46990775486,-81.30932339730329,-275.8404207104359
1K,475071.4878560078,-81.60463396985328,-297.6176979743541
1K,491501.74788919307,-81.89994358674892,-316.8155580383
1K,508500.2454438004,-82.19525219065402,-319.0461918374951
1K,526086.6329099999,-82.49055971957063,-304.00590769832763
1K,544281.2423522616,-82.78586610651234,-298.95026773592673
1K,563105.109015762,-83.08117127923617,-305.37177610791053
1K,582579.995645767,-83.37647515987547,-330.57563817256244
1K,602728.4176480848,-83.67177766458703,-316.20523835214493
1K,623573.6691196891,-83.96707870315909,-307.0828442082706
1K,645139.8497796168,-84.26237817859716,-305.4563856079249
1K,667451.8928312553,-84.55767598667717,-321.89525112320274
1K,690535.5937882415,-84.85297201547408,-311.6498598562643
1K,714417.6402973111,-85.14826614478108,-321.09401733108797
1K,739125.6429925543,-85.44355824567945,-293.2515648664117
1K,764688.1674167585,-85.73884817980813,-331.29677332049374
1K,791134.7670467589,-86.03413579880238,-370.51205644516403
1K,818496.0174609524,-86.32942094359802,-338.4165325400051
1K,846803.5516884859,-86.62470344365934,-327.135659882078
1K,876090.0967810064,-86.91998311622766,-331.7758085398825
1K,906389.5116492236,-87.2152597654626,-323.44544240879884
1K,937736.8262080409,-87.51053318153411,-344.118178940406
1K,970168.2818755318,-87.80580313965699,-335.1667336005491
1K,1000000.0,-88.06881223263088,-329.08912520540207
1K,1003721.3734725483,-88.10106939903717,-329.96872156964656
1K,1038434.8925714198,-88.39633170177798,-371.1235647573735
1K,1074348.9723438763,-88.6915897716716,-329.32327515860436
1K,1111505.1339600105,-88.98684331292154,-351.6089163039643
1K,1149946.3345919405,-89.28209200878462,-316.7455711192542
1K,1189717.0170776877,-89.5773355200855,-352.26105180102735
1K,1230863.1613026524,-89.87257348366832,-315.1119153107094
1K,1273432.3373581083,-90.16780551070494,-345.3006178309494
1K,1317473.760538194,-90.4630311848919,-347.6680918479858
1K,1363038.3482389443,-90.75825006052939,-347.24070863161023
1K,1410178.7788251631,-91.05346166045388,-316.217437671476
1K,1458949.5525332207,-91.34866547383935,-345.57708543035125
1K,1509407.0544801396,-91.64386095382427,-309.65459683153233
1K,1561609.6198518341,-91.9390475149371,-372.115498053987
1K,1615617.6013459042,-92.23422453049668,-350.8383788452388
1K,1671493.438946897,-92.52939132959489,-375.81206699276925
1K,1729301.7321147304,-92.82454719404458,-328.2679538294826
1K,1789109.3144697733,-93.11969135504964,-324.0182845678373
1K,1850985.3310608636,-93.4148229896226,-329.0518683353522
1K,1915001.3183056242,-93.70994121680872,-368.38019165707453
1K,1981231.2866955365,-94.00504509356105,-364.1358448815422
1K,2049751.8063613186,-94.3001336104247,-334.9584132565221
1K,2120642.0955975633,-94.59520568678394,-324.91103993635386
1K,2193984.112449026,-94.89026016592945,-378.01395613202726
1K,2269862.649464366,-95.18529580965284,-329.01072257542125
1K,2348365.4317269293,-95.48031129251603,-382.56013117378086
1K,2429583.218275954,-95.77530519571471,-323.74531808453406
1K,2513609.9070353387,-96.07027600049034,-368.0260763006602
1K,2600542.6433714256,-96.36522208107823,-318.0954416550301
1K,2690481.9324051845,-96.66014169717982,-328.0867255155981
1K,2783531.7552086944,-96.95503298588554,-372.1276313204308
1K,2879799.689020303,-97.24989395302703,-317.05440241603833
1K,2979397.0316173625,-97.5447224638995,-341.9207914688685
1K,3082438.9299903666,-97.83951623339456,-383.2666975499411
1K,3189044.5134673156,-98.13427281535041,-315.5755878343455
1K,3299337.0314421095,-98.42898959118838,-317.5364851530491
1K,3413443.9958662484,-98.72366375777808,-389.3961624135669
1K,3531497.328668643,-99.01829231435426,-369.9895005894621
1K,3653633.5142738535,-99.31287204861106,-403.8309166769644
1K,3779993.7573951394,-99.60739952173111,-317.90148092642164
1K,3910724.1462848205,-99.90187105237925,-320.01229690294514
1K,4045975.8216305557,-100.19628269958042,-406.1536183312861
1K,4185905.151292864,-100.4906302443614,-392.75857131868236
1K,4330673.911085985,-100.78490917020747,-294.28930145403456
1K,4480449.471810944,-101.07911464134531,-312.2507970188781
1K,4635404.992757108,-101.3732414814857,-385.4632832544131
